experiment,val_top1_mean,val_top1_std,val_f1_macro_mean,val_f1_macro_std,val_auc_macro_mean,val_auc_macro_std,test_top1_mean,test_top1_std,test_f1_macro_mean,test_f1_macro_std,test_auc_macro_mean,test_auc_macro_std
0,0.7812981087916931,0.006734036348252471,0.2740039641624941,0.047488156636527085,0.8792999760318677,0.018340043708459083,0.6182809297916226,0.03467290540664273,0.23021223560591703,0.022443954390106314,0.8298648037427269,0.017862462646444015
100,0.7050596170707081,0.02626579950742387,0.4142670828402336,0.055329546004454694,0.9207431732050916,0.003347026536437822,0.608442992659836,0.029835492352916104,0.42479189733070777,0.02463897920917842,0.8830559848088304,0.012556870316656348
1000,0.7705566079559676,0.009961282309391693,0.7461399147004208,0.013644570172337417,0.9729374477547635,0.001222911130951712,0.7072692936646094,0.008725780810516568,0.6891769803138437,0.009965943392758097,0.9542694189204646,0.005107804121376322
200,0.7338093025419579,0.02373822300120277,0.5923583422517994,0.020380780617618242,0.9494628016910432,0.0038512126964899214,0.6488391936009108,0.016322664907427183,0.5379901837191982,0.01898735065857071,0.9145456001933869,0.004579042417764839
2000,0.8159471836121114,0.010006466122755837,0.8140086435321454,0.011383228850900462,0.9843827767444825,0.002072777447053637,0.7211815297563623,0.005967368414078239,0.7242225483666804,0.008261045348803155,0.9628828792001818,0.00138981383930028
300,0.7273090621498085,0.011481199757863176,0.623073171405123,0.03852972655822981,0.9516262108460815,0.005944660222943953,0.6514513536955135,0.009376417891659192,0.5814316497235896,0.01496874027518171,0.9190400053942819,0.01271586520295473
3000,0.8283944374776485,0.011258401323028711,0.8290060239474528,0.012647080753157024,0.9877850272892841,0.0008180821809897266,0.7339364186227905,0.012515932306476168,0.7402185958671792,0.009375135307841072,0.9688981965013366,0.003239987663365003
400,0.729854343823322,0.0182730322112681,0.6535187819118535,0.02874944341807765,0.9574167487115863,0.006175700809159477,0.6702765948044569,0.016767947522360976,0.6006646121278776,0.01926145243165329,0.929941523268121,0.008413143133123302
4000,0.8520146103995186,0.005930199309948145,0.8557134528855144,0.008577145487175385,0.9913652892783837,0.0011991208045950114,0.7517537105793856,0.003333666175056793,0.7641178201413177,0.003382128931569284,0.9745505275066246,0.002364346132358577
500,0.7435076684051996,0.021097706235741275,0.6914525181407135,0.029882341837612812,0.9637681580354531,0.0037188354848448546,0.6822441378202794,0.013009333306563967,0.6367693797948425,0.015141408586884536,0.9382505214586223,0.0029767940563332398
5000,0.8467130620985011,0.017828947630567693,0.8490323122597287,0.017019322838494135,0.9916099877813103,0.0012160433650617508,0.7680620985010707,0.011132432603430893,0.7799385302395034,0.009023626344054278,0.9783583634397663,0.0011213930991777865
600,0.7511694402597251,0.01780119943797,0.7063032323519897,0.023817487991391224,0.9650501552716895,0.0037060669123722876,0.6903042794246943,0.01714413352376367,0.6461153272457858,0.01276559028057401,0.9436236445095808,0.005278855739833162
700,0.7665205391537224,0.014871284048620537,0.7264159031106179,0.024972409503650685,0.9675349025536303,0.0037229993977914446,0.6999159450409883,0.01272067309970901,0.659497283004715,0.02051089953499286,0.945934711108522,0.0055546155900177505
800,0.7575730110529804,0.01940302304057295,0.728591721689741,0.023230804402638885,0.9685122445554452,0.003064331546122644,0.694553592116977,0.014092168481134032,0.666649012901541,0.008842742240133157,0.9488897669303024,0.003966978568156198
900,0.779586905135446,0.008265147301569235,0.7534986655163117,0.021937990203942454,0.9730438567500567,0.001969716014456476,0.7065764225991621,0.007975332376317833,0.6850920002049398,0.0077376260227657225,0.9519511209872723,0.004980704594961545
balanced3000,0.8019555555555555,0.02122638120969422,0.8021215912687142,0.02051407068530913,0.9870384140211639,0.0015367774115696382,0.7022888888888889,0.01240385244815324,0.7210656574050534,0.011484481971456009,0.9666090105820107,0.0016548505179491797
