experiment,fold,val_top1,val_f1_macro,val_auc_macro,test_top1,test_f1_macro,test_auc_macro
0,0,0.776537833424061,0.23009929052838565,0.8562994238143596,0.6442569406641263,0.2553706445685177,0.8437905609286039
0,1,0.7890582471420795,0.2981667736765346,0.9047748060063532,0.5801360544217686,0.21847550021344297,0.8293746744140809
0,2,0.7804081632653062,0.2742030381747305,0.8827202965185911,0.5991836734693877,0.20549114601225313,0.8346585711763428
0,3,0.7733333333333333,0.22757020643061,0.8680350837511076,0.6037016875340229,0.2189910043503566,0.7996199414661291
0,4,0.7871529667936854,0.33998051200220974,0.884670270068927,0.6641262928688079,0.252732882885015,0.8418802707284775
100,0,0.686713638651233,0.43387626379978905,0.9277747818473734,0.6233014594866633,0.4049157381157821,0.8949817967209488
100,1,0.6930045294413689,0.3999138148116467,0.9221311769802933,0.599496855345912,0.4037074414777182,0.8633668422614807
100,2,0.7413836477987421,0.44013020712449724,0.9193037923226633,0.6382389937106918,0.4525892509143367,0.895145338977417
100,3,0.7240251572327044,0.47836451410389386,0.9259712474654577,0.6394061399094112,0.43991355082757094,0.8864424495836908
100,4,0.6839456467035733,0.4233878756023664,0.9183549715223791,0.5946149974836437,0.43316233571938517,0.8913489604795957
200,0,0.6925596630790828,0.5612950758342833,0.9446858829472997,0.627749181094993,0.5394935332691971,0.9080577825533073
200,1,0.7344408048666355,0.5934297173249867,0.9498102406360048,0.6374269005847953,0.5467751537389448,0.9135266885101161
200,2,0.7466666666666667,0.5976270635000015,0.9506058801630309,0.6690058479532164,0.5606510558515829,0.9201908655976859
200,3,0.7485380116959064,0.6181745457609831,0.9549583292613966,0.6530182498830136,0.5091401598089382,0.9173656460044974
200,4,0.7468413664014975,0.5912653088387423,0.9472536754474844,0.6569957884885353,0.5338910159273278,0.9135870183013284
300,0,0.725185832968955,0.6563082471692041,0.9570946477753713,0.6359860078705728,0.5573127698765853,0.9231538595002892
300,1,0.7365544381285527,0.6519185999422422,0.9571931996324974,0.6496174863387978,0.5885478928438469,0.921360414750573
300,2,0.7081967213114754,0.5675476636465463,0.9434183362766487,0.6579234972677596,0.5913295116033283,0.9339874086650474
300,3,0.7335519125683061,0.6409730703344696,0.9523448102842144,0.6589418452120682,0.5765969972080321,0.8990633733121901
300,4,0.7330564057717533,0.5986182759331526,0.9480800602616754,0.6547879317883691,0.5933710770861552,0.9176349707433099
400,0,0.724661469019286,0.6612436012788013,0.958715907072757,0.684037751333607,0.6340222474677769,0.9366924020762917
400,1,0.7578990562166598,0.6972346405971758,0.9667700761022026,0.6834871794871795,0.5917378037937147,0.9352150032879746
400,2,0.7372307692307691,0.6537562519790979,0.9579647769834649,0.6758974358974359,0.600149147647982,0.9359955017537674
400,3,0.7124102564102565,0.6276577535142986,0.9522398615319485,0.6440295445219532,0.5870703993801463,0.9231019179535391
400,4,0.7170701682396389,0.6277016621898942,0.9513931218675593,0.6639310627821091,0.5903434623497679,0.9187027912690318
500,0,0.7280633938925396,0.649934985579208,0.9639244528892428,0.6884422110552764,0.6324349402710535,0.9392510875731781
500,1,0.7700038654812523,0.7130786249935261,0.9675853805601076,0.6840579710144928,0.6500878321918567,0.9406412611499327
500,2,0.7269565217391305,0.6746731409597548,0.9608221607890951,0.6600966183574879,0.6131345210488991,0.9331289529425117
500,3,0.7296618357487923,0.6951848032001897,0.9592847295334543,0.6940471588712795,0.6493364763861155,0.9398231392113635
500,4,0.7628527251642829,0.7243910359708888,0.9672240664053658,0.6845767298028604,0.6388531290762877,0.9384081664161251
600,0,0.7725611983924004,0.7291712594689328,0.9714665343615642,0.7168432590427476,0.6679445910276948,0.9514339457533926
600,1,0.7614176105224699,0.716895384856879,0.9638221111259396,0.6851141552511416,0.6466885345753878,0.9409962977437101
600,2,0.7557990867579909,0.7099537423628283,0.9632139992533068,0.6867579908675799,0.6405149555180916,0.9459902784000921
600,3,0.73662100456621,0.7093351837087133,0.9646530681716177,0.669711362805992,0.6388270267625693,0.9376737162027763
600,4,0.7294483010595543,0.6661605913625953,0.962095063446019,0.6930946291560102,0.6366015283451856,0.9420239844479332
700,0,0.7739868375476273,0.735270516303634,0.9681450686599937,0.6882577069622445,0.6455940531380971,0.9443201070256108
700,1,0.7528576376861794,0.7049754988724116,0.961427748306556,0.7090909090909091,0.6517485703049586,0.9446419893948944
700,2,0.7882251082251082,0.7662325555879357,0.9713834566458572,0.7175757575757575,0.6884846190658541,0.955166504063828
700,3,0.7638095238095238,0.7131638697728391,0.9692544481158997,0.6925874610322134,0.672596756545249,0.9401351021247604
700,4,0.7537235885001732,0.7124370750162687,0.9674637910398451,0.6920678905438171,0.6390624159694164,0.9454098529335168
800,0,0.7724728350345735,0.7515791934709137,0.9701579872223249,0.7021731972341126,0.6603509390928699,0.9497640221054583
800,1,0.778235100428054,0.7370095817513108,0.9728609290747176,0.699753086419753,0.6543696813414247,0.9527838773426198
800,2,0.7493004115226337,0.724638721065885,0.9677173346192587,0.7076543209876544,0.674948799985749,0.95137214208339
800,3,0.7583539094650206,0.7390208392214694,0.9668589566646927,0.6715508725716167,0.6723479379220457,0.9425652808916822
800,4,0.7295027988146197,0.6907102729391261,0.964966015196232,0.6916364833717484,0.6712277061656154,0.9479635122283611
900,0,0.7682773768434263,0.7252450560172776,0.9702495487184287,0.7039535613429558,0.6842390274011236,0.950404201551376
900,1,0.7811421399435206,0.7765686073108086,0.9736402721922498,0.7011764705882354,0.6935791585770077,0.9466167669888438
900,2,0.7752156862745098,0.7362045083543209,0.9719186424491532,0.7082352941176471,0.6917164993754769,0.9578347157729704
900,3,0.7901176470588236,0.7693689284717735,0.9752381526423112,0.7196422968308753,0.6812172677611412,0.9565283798450644
900,4,0.7831816755569502,0.7601062274273781,0.9741726677481408,0.6998744901160967,0.6747080479099492,0.9483715407781068
1000,0,0.7665567875337129,0.7533984523228016,0.9721275694579858,0.6971830985915493,0.693114630390401,0.9482751892066439
1000,1,0.7863350314653882,0.7645794338973013,0.9750300138475004,0.714307116104869,0.6804843532363082,0.9596980342465942
1000,2,0.7611985018726591,0.7285073418661017,0.9725190182144402,0.7093632958801499,0.6896546963813296,0.95374164265131
1000,3,0.7647940074906368,0.7441761462953201,0.9729518364778348,0.6991309559484568,0.6791328860441361,0.9504525321083899
1000,4,0.7738987114174408,0.7400381991205796,0.9720588007760559,0.7163620017980221,0.7034983355170433,0.9591796963893849
2000,0,0.8291296258011164,0.8279965647774398,0.9875181721863124,0.722038453586934,0.7264810352374398,0.9644302743229715
2000,1,0.8143477362001241,0.8143315185383789,0.98445549443021,0.7278552971576228,0.7323262513604547,0.9623936739738916
2000,2,0.8198449612403101,0.8193323744526727,0.9849294314959819,0.7215503875968992,0.7290721797881966,0.9630698119952544
2000,3,0.8148837209302325,0.8113133869562381,0.982476577778873,0.7229687823030804,0.7222286800221115,0.9637236133617642
2000,4,0.8015298738887741,0.7970693729359972,0.9825342078310351,0.7114947281372751,0.7110045954251997,0.9607970223470267
3000,0,0.8449581821050971,0.8498418224754813,0.9880906570506931,0.7356004418494555,0.7427810703358464,0.9633205848952895
3000,1,0.8176581978854348,0.8165723292876239,0.9864070623352342,0.7248126232741617,0.7312158695650494,0.9702105529411867
3000,2,0.8220907297830375,0.8233136510324875,0.9877158296213993,0.7243392504930967,0.7315903962924437,0.9691752399678439
3000,3,0.8224063116370809,0.824913192730495,0.9882364205636603,0.7301562253432223,0.7415891234092327,0.9701411764566731
3000,4,0.8348587659775919,0.8303891242111763,0.9884751668754331,0.7547735521540162,0.7539165197333236,0.9716434282456888
balanced3000,0,0.7722222222222223,0.7723345935850947,0.9853149272486773,0.6892222222222222,0.7114262123338659,0.9656866997354498
balanced3000,1,0.7964444444444445,0.7969151003327146,0.9868354894179894,0.6982222222222222,0.7174010245901444,0.9669107407407407
balanced3000,2,0.8292222222222222,0.8280348526424594,0.9887323214285714,0.7222222222222223,0.7403782438461248,0.9688742791005291
balanced3000,3,0.8134444444444445,0.8119632719719798,0.9884848544973545,0.7045555555555555,0.7219471326016015,0.9671149140211639
balanced3000,4,0.7984444444444445,0.8013601378113221,0.9858244775132275,0.6972222222222223,0.71417567365353,0.9644584193121694
synthetic,0,0.8675555555555556,0.8696274175529392,0.9941501190476191,0.7562222222222222,0.7709912172390416,0.9801583465608465
synthetic,1,0.8668888888888888,0.869363935629565,0.9949801256613758,0.7853333333333333,0.8003634385666571,0.9835758333333333
synthetic,2,0.8809999999999999,0.88215386892634,0.9959462301587301,0.7753333333333333,0.7887712374786939,0.9827936970899471
synthetic,3,0.8805555555555555,0.8810873284570698,0.9951394576719577,0.7686666666666666,0.7835807159542334,0.9789553306878306
synthetic,4,0.8590000000000001,0.8608378352556872,0.9943097817460317,0.7631111111111112,0.7787266306024131,0.9816149603174602
